CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3205010,Sooretama,32,ES,455.51342465753424,476.3865525672376,496.9176039119805,495.1432876712326,552.4205378973105
3205036,Vargem Alta,32,ES,488.4065868263479,519.4162318840587,526.8611594202902,549.5440119760477,616.463768115942
3205069,Venda Nova do Imigrante,32,ES,509.94192439862553,534.6146067415727,533.2674157303372,576.1749140893469,616.4044943820224
3205101,Viana,32,ES,467.6772426817748,499.8093286835224,515.8081952920663,507.36562795089736,540.3836094158675
3205150,Vila Pavão,32,ES,482.0310924369747,500.8243902439023,507.63902439024406,541.9949579831932,561.4634146341464
3205176,Vila Valério,32,ES,487.2322222222222,510.2840425531912,516.583510638298,536.9683333333336,608.6170212765958
3205200,Vila Velha,32,ES,505.2529505752034,535.459065740461,541.4612403100741,564.1453664252251,610.8829155340783
3205309,Vitória,32,ES,516.005309836441,545.9980826120288,547.6379204557918,579.0254088919593,630.3889558452942
3300100,Angra dos Reis,33,RJ,475.9840377513345,508.694180704441,527.015926493109,520.8457529749692,549.8698315467075
3300159,Aperibé,33,RJ,493.3937888198756,518.3413793103449,528.7017241379307,542.9925465838511,619.3103448275862
3300209,Araruama,33,RJ,488.0753210496926,514.9943080939946,529.860574412532,532.7857621440535,583.289817232376
3300225,Areal,33,RJ,474.3031446540881,503.1883040935673,523.4578947368418,515.3132075471699,579.6491228070175
3300233,Armação dos Búzios,33,RJ,490.474902723736,525.2749097472924,535.0070397111915,530.6999999999997,599.7111913357401
3300258,Arraial do Cabo,33,RJ,488.7055900621122,513.9908571428572,532.6562857142856,537.1164596273287,576.0
3300308,Barra do Piraí,33,RJ,492.1769769769773,524.1638758231418,535.2400752587014,539.7094094094098,619.5860771401693
3300407,Barra Mansa,33,RJ,494.2615079365085,523.6011681268249,535.869586983729,549.5470899470907,627.2090112640801
3300456,Belford Roxo,33,RJ,464.6569966505378,495.9578765346719,516.1365208369352,494.79683662076513,546.6332353449767
3300506,Bom Jardim,33,RJ,505.3974910394267,539.7484745762712,542.8189830508478,564.6534050179212,608.542372881356
3300605,Bom Jesus do Itabapoana,33,RJ,486.1260869565217,509.0767164179104,524.2547761194032,539.5623188405796,572.6567164179105
3300704,Cabo Frio,33,RJ,488.9846043165479,517.4236271186434,532.878576271186,538.5356834532384,600.4203389830509
3300803,Cachoeiras de Macacu,33,RJ,477.3893899204246,506.5894536213478,522.2060991105469,521.7802387267908,601.8551461245235
3300902,Cambuci,33,RJ,477.5696832579184,502.6704166666665,512.7824999999997,509.45565610859705,555.75
